ID	Speech	action_code	action_only	num_lines_before	num_lines_after	anno_before	anno_after	num_lines_last_mvmt	max_repeated_word	count_uppercase_words	period	comma	semicolon	hyphen	total_words	question	apostrophe	exclamation	big_action_only	speaker_action_only	speaker_big_action_only	speaker_action_code	WRB 	WPSS	WP 	WDT 	VBZ 	VBP 	VBN 	VBG 	VBD 	VB 	UH 	TO 	SYM 	RP 	RBS 	RBR 	RB 	PRPSS	PRP 	POS 	PDT 	NNS 	NNPS 	NNP 	NN 	MD 	LS 	JJS 	JJR 	JJ 	IN 	FW 	EX 	DT 	CD 	CC 	speakerpostn	numcharsonstage	BERNARDO	CORNELIUS	FRANCISCO	GHOST	GUILDENSTERN	HAMLET	HORATIO	KINGCLAUDIUS	LAERTES	LORDPOLONIUS	LUCIANUS	MARCELLUS	OPHELIA	OSRIC	PRINCEFORTINBRAS	QUEENGERTRUDE	REYNALDO	ROSENCRANTZ	VOLTIMAND	Random1	Random2	Random3	Random4	Random5	Random6	Random7	Random8	Random9	Random10	fight_in_general	point	look	run_walk_jog	handle_object	sit_stand_lie_down_kneel	gestures	new_big_actions	neg_big_actions	sortbig	sortany	sortwalk	sortfight	sortpoint	sortlook	sorthandle	sortposture	sortgesture	sortbig_rand	sortany_rand	sortwalk_rand	sortfight_rand	sortpoint_rand	sortlook_rand	sorthandle_rand	sortposture_rand	sortgesture_rand	firstpos	secondpos	thirdpos	fourthpos	fifthpos	sixthpos	seventhpos	eighthpos	ninethpos	tenthpos	eleventhpos	twelfthpos	thirteenthpos	fourteenthpos	fifteenthpos	POS_sentence
1	Who''s there?	9	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0																						3754	4446	2663	2241	1567	4773	3304	2159	1317	3218	0	0	0	0	1	0	0	1	1	3754	3754	3754	3754	3754	3754	3754	3754	3754	3754	3754	3754	3754	3754	3754	3754	3754	3754	NNS	MD														NNS MD             
2	"Nay, answer me: stand, and unfold yourself."	17	1	0	0	0	0	0	0	0	1	2	0	0	7	0	0	0	1	1	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	1																						450	1909	4217	4505	2968	4373	446	78	386	3839	0	0	0	1	0	0	0	0	-1	450	-1	-1	450	450	450	450	450	450	450	1737	675	450	450	450	450	450	450	NNP	NN	NN	NN	CC	JJ	.									NNP NN NN NN CC JJ .        
3	Long live the king!	17	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	1	1	17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0																						735	415	2675	305	1793	1280	3619	4882	3379	4336	0	0	0	1	0	0	0	0	-1	735	-1	-1	735	735	735	735	735	735	735	782	101	735	735	735	735	735	735	RB	VB	DT	NN												RB VB DT NN           
4	Bernardo?	17	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						3943	2534	1098	947	1514	4264	398	1873	2340	2987	0	0	0	1	0	0	0	0	-1	3943	3943	3943	3943	3943	3943	3943	3943	3943	3943	3943	3943	3943	3943	3943	3943	3943	3943	.															.              
5	He.	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						605	1922	1100	2639	3146	3102	481	820	1343	2673	0	0	0	0	0	0	0	0	-1	605	605	605	605	605	605	605	605	605	605	605	605	605	605	605	605	605	605	.															.              
6	You come most carefully upon your hour.	0	0	0	0	0	0	1	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0																						2263	2134	3808	4626	3347	1267	2088	2746	3210	1442	0	0	0	0	0	0	0	0	-1	2263	2263	2263	2263	2263	2263	2263	2263	2263	2263	2263	2263	2263	2263	2263	2263	2263	2263	PRP	VBP	RBS	RB	IN	PRP$	NN									PRP VBP RBS RB IN PRP$ NN        
7	"Tis now struck twelve; get thee to bed, Francisco."	0	0	0	0	0	0	2	0	0	1	1	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0																						4381	4703	3182	4960	790	3784	2664	3081	4553	927	0	0	0	0	0	0	0	0	-1	4381	4381	4381	4381	4381	4381	4381	4381	4381	4381	4381	4381	4381	4381	4381	4381	4381	4381	NNPS	RB	VBD	RB	VB	PRP	TO	VB	NNP							NNPS RB VBD RB VB PRP TO VB NNP      
8	"For this relief much thanks: ''tis bitter cold,"	23	1	0	1	0	0	3	0	0	0	1	0	0	8	0	1	0	1	1	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	1	0	0																						338	4552	2000	4429	415	50	1316	248	4267	3089	0	0	1	0	0	0	0	0	-1	338	-1	338	338	338	-1	338	338	338	338	2179	338	338	338	267	338	338	338	IN	DT	NN	RB	IN	PRP$	JJ	NN								IN DT NN RB IN PRP$ JJ NN       
9	And I am sick at heart.	0	0	1	0	0	0	0	0	1	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1																						3228	181	1224	4634	1281	877	4590	739	4230	1144	0	0	0	0	0	0	0	0	-1	3228	3228	3228	3228	3228	3228	3228	3228	3228	3228	3228	3228	3228	3228	3228	3228	3228	3228	CC	PRP	VBP	JJ	IN	NN										CC PRP VBP JJ IN NN         
10	Have you had quiet guard?	23	1	0	0	0	0	1	0	0	0	0	0	0	5	1	0	0	1	1	1	23	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0																						4307	4468	3939	4372	3264	922	2509	3006	2936	4790	0	0	1	0	0	0	0	0	-1	4307	4307	4307	4307	4307	4307	4307	4307	4307	4307	4307	4307	4307	4307	4307	4307	4307	4307	VBP	PRP	VBD	JJ	NN											VBP PRP VBD JJ NN          
