ID	Speech	action_code	action_only	num_lines_before	num_lines_after	anno_before	anno_after	num_lines_last_mvmt	max_repeated_word	count_uppercase_words	period	comma	semicolon	hyphen	total_words	question	apostrophe	exclamation	big_action_only	speaker_action_only	speaker_big_action_only	speaker_action_code	WRB 	WPSS	WP 	WDT 	VBZ 	VBP 	VBN 	VBG 	VBD 	VB 	UH 	TO 	SYM 	RP 	RBS 	RBR 	RB 	PRPSS	PRP 	POS 	PDT 	NNS 	NNPS 	NNP 	NN 	MD 	LS 	JJS 	JJR 	JJ 	IN 	FW 	EX 	DT 	CD 	CC 	speakerpostn	numcharsonstage	BERNARDO	CORNELIUS	FRANCISCO	GHOST	GUILDENSTERN	HAMLET	HORATIO	KINGCLAUDIUS	LAERTES	LORDPOLONIUS	LUCIANUS	MARCELLUS	OPHELIA	OSRIC	PRINCEFORTINBRAS	QUEENGERTRUDE	REYNALDO	ROSENCRANTZ	VOLTIMAND	Random1	Random2	Random3	Random4	Random5	Random6	Random7	Random8	Random9	Random10	fight_in_general	point	look	run_walk_jog	handle_object	sit_stand_lie_down_kneel	gestures	new_big_actions	neg_big_actions	sortbig	sortany	sortwalk	sortfight	sortpoint	sortlook	sorthandle	sortposture	sortgesture
2432	"The associates tend, and every thing is bent"	0	0	5	1	0	0	5	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	1																						0	4544	1807	740	3577	1353	3863	2909	3030	2731	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
403	"And convoy is assistant, do not sleep,"	0	0	2	1	0	0	0	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1																						4	80	1524	4525	3653	1183	1597	9	4091	4991	0	0	0	0	0	0	0	0	-1	4	4	4	4	4	4	4	4	4
1138	"My excellent good friends! How dost thou,"	12	1	0	1	0	0	0	2	0	0	1	0	0	7	0	0	1	1	1	1	12	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0																						4	1589	3429	3868	2205	2244	1670	478	2310	2544	0	0	0	1	0	0	0	1	1	-1	-1	-1	4	4	4	4	4	4
954	"I hold my duty, as I hold my soul,"	17	1	1	5	0	0	0	2	1	0	2	0	0	9	0	0	0	1	1	1	17	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0																						5	4733	3228	79	4532	4380	4639	2408	2424	2532	0	0	0	1	0	0	0	0	-1	5	-1	-1	5	5	5	5	5	5
575	"It beckons you to go away with it,"	23	1	0	2	0	0	0	0	0	0	1	0	0	8	0	0	0	1	1	1	23	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0																						9	1093	3918	1544	1299	16	4936	929	1239	4628	0	0	1	0	0	0	0	0	-1	9	-1	9	9	9	-1	9	9	9
924	"Whether aught, to us unknown, afflicts him thus,"	0	0	16	1	0	0	1	2	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0																						9	4518	3342	3912	4356	2865	964	3245	3938	2326	0	0	0	0	0	0	0	0	-1	9	9	9	9	9	9	9	9	9
3458	"What feast is toward in thine eternal cell,"	0	0	1	2	0	0	0	2	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	2	0	0	0	0	0																						9	4545	4805	1162	4727	423	2547	178	2361	3491	0	0	0	0	0	0	0	0	-1	9	9	9	9	9	9	9	9	9
1131	"more willingly part withal: except my life, except"	0	0	1	1	0	0	0	2	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	1	3	0	0	0	0	0																						10	4423	2393	3712	46	4854	1846	3562	2908	909	0	0	0	0	0	0	0	0	-1	10	10	10	10	10	10	10	10	10
1659	"To England send him, or confine him where"	0	0	10	1	0	0	2	1	0	0	1	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1																						11	1471	4720	3992	714	1185	2698	1619	467	895	0	0	0	0	0	0	0	0	-1	11	11	11	11	11	11	11	11	11
381	I will watch to-night;	17	1	0	1	0	0	1	0	0	0	0	1	1	4	0	0	0	1	1	1	17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0																						12	1902	1280	4658	3371	3805	1745	1205	2247	4216	0	0	0	1	0	0	0	0	-1	12	-1	-1	12	12	12	12	12	12
